artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
cascade__mushoku16__llama-3.3-70b__tuned-cheap-arm.json,cascade,mushoku16,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,136,84,61.8,ok,False,,0.1,08-02 16:39,http://127.0.0.1:8090/v1
cascade__mushoku16__qwen__qwen3-32b__a6000-contig.json,cascade,mushoku16,qwen/qwen3-14b + qwen/qwen3-32b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cheap-w1,139,66,47.5,ok,False,,0.1,07-28 19:58,http://localhost:1234/v1
cascade__mushoku16__qwen__qwen3-32b__a6000-contig.json,cascade,mushoku16,qwen/qwen3-14b + qwen/qwen3-32b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cascade,139,63,45.3,ok,False,,0.1,07-28 19:58,http://localhost:1234/v1
cascade__owarimonogatari3__google__gemma-3-27b__a6000-newbook.json,cascade,owarimonogatari3,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cheap-w1,162,69,42.6,ok,False,,0.1,07-29 15:44,http://localhost:1234/v1
cascade__owarimonogatari3__google__gemma-3-27b__a6000-newbook.json,cascade,owarimonogatari3,qwen/qwen3-14b + google/gemma-3-27b,cloud-a6000-LM,instance-lho3lk5l-main,LM Studio loopback,16384,1,,cascade,162,75,46.3,ok,False,,0.1,07-29 15:44,http://localhost:1234/v1
cascade__owarimonogatari3__llama-3.3-70b__a6000-batchtrig.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,162,65,40.1,ok,False,,0.1,07-30 03:52,http://127.0.0.1:8090/v1
cascade__owarimonogatari3__llama-3.3-70b__a6000-batchtrig.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,162,89,54.9,ok,False,,0.1,07-30 03:52,http://127.0.0.1:8090/v1
cascade__owarimonogatari3__llama-3.3-70b__a6000-newbook.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cheap-w1,162,68,42.0,ok,False,,0.1,07-28 19:00,http://127.0.0.1:8090/v1
cascade__owarimonogatari3__llama-3.3-70b__a6000-newbook.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,cascade,162,91,56.2,ok,False,,0.1,07-28 19:00,http://127.0.0.1:8090/v1
cascade__owarimonogatari3__llama-3.3-70b__tuned-cheap-arm.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cheap-w1,162,88,54.3,ok,False,,0.1,08-02 16:26,http://127.0.0.1:8090/v1
cascade__owarimonogatari3__llama-3.3-70b__tuned-cheap-arm.json,cascade,owarimonogatari3,qwen/qwen3-14b + llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-kwami7f2-main,llama.cpp-cuda,16384,1,f16?,cascade,162,97,59.9,ok,False,,0.1,08-02 16:26,http://127.0.0.1:8090/v1
chapter_manifest.json,,,,,,,,,,,,,,,,,,,
